Date,AON,AOS,APA,APD,APH,APTV,ARE,ATO
2022-01-03 00:00:00-05:00,287.576416015625,79.92304229736328,26.516544342041016,279.31011962890625,84.51050567626953,166.02999877929688,202.02017211914062,99.10092163085938
2022-01-04 00:00:00-05:00,288.58648681640625,81.25238800048828,27.839534759521484,282.7187194824219,84.7742919921875,172.2100067138672,202.92996215820312,100.28057861328125
2022-01-05 00:00:00-05:00,287.34100341796875,79.89435577392578,26.83784294128418,287.26983642578125,83.16224670410156,168.27999877929688,189.90794372558594,100.60144805908203
2022-01-06 00:00:00-05:00,284.8893737792969,80.4299087524414,27.990737915039062,281.3968200683594,83.23063659667969,174.1199951171875,192.83950805664062,99.81814575195312
2022-01-07 00:00:00-05:00,277.3184509277344,79.5213623046875,28.037986755371094,280.8208312988281,80.23125457763672,169.47000122070312,192.0675506591797,99.36515045166016
2022-01-10 00:00:00-05:00,276.5534973144531,79.27269744873047,27.801740646362305,278.6397705078125,80.03584289550781,165.07000732421875,190.98318481445312,99.23303985595703
2022-01-11 00:00:00-05:00,282.1434326171875,80.04736328125,30.239824295043945,280.943603515625,80.70997619628906,159.6999969482422,191.71835327148438,98.75173950195312
2022-01-12 00:00:00-05:00,282.1434326171875,80.31514739990234,30.85407066345215,283.03033447265625,80.9737548828125,159.7899932861328,192.95901489257812,98.33649444580078
2022-01-13 00:00:00-05:00,275.0138244628906,79.32052612304688,30.324871063232422,277.8748474121094,79.97722625732422,158.57000732421875,192.86708068847656,100.0257568359375
2022-01-14 00:00:00-05:00,268.16864013671875,77.05396270751953,31.458866119384766,275.098876953125,79.73297882080078,152.60000610351562,193.24386596679688,100.08238983154297
2022-01-18 00:00:00-05:00,267.41351318359375,77.14002990722656,31.15647315979004,270.61383056640625,78.01345825195312,149.55999755859375,190.58799743652344,99.4784164428711
2022-01-19 00:00:00-05:00,265.4031066894531,76.0784683227539,30.598922729492188,269.64129638671875,76.70426940917969,145.8800048828125,189.62306213378906,99.41234588623047
2022-01-20 00:00:00-05:00,265.03045654296875,74.79693603515625,29.645517349243164,270.97259521484375,76.11807250976562,142.0,182.2620391845703,99.1103515625
2022-01-21 00:00:00-05:00,261.2744140625,73.46759033203125,28.554569244384766,266.7142028808594,75.25830841064453,140.19000244140625,180.65379333496094,98.70455169677734
2022-01-24 00:00:00-05:00,268.36480712890625,75.34207153320312,28.97197914123535,267.0352478027344,75.57095336914062,139.88999938964844,179.44073486328125,96.5622787475586
2022-01-25 00:00:00-05:00,262.5395202636719,72.10957336425781,31.3720760345459,263.8437194824219,74.26177978515625,135.92999267578125,178.42987060546875,98.0722427368164
2022-01-26 00:00:00-05:00,262.5198669433594,71.45923614501953,31.41002082824707,260.9921569824219,74.58416748046875,135.2100067138672,174.34957885742188,97.81745147705078
2022-01-27 00:00:00-05:00,256.8221130371094,72.53993225097656,31.258235931396484,260.4634094238281,73.30430603027344,132.00999450683594,170.5082244873047,98.93104553222656
2022-01-28 00:00:00-05:00,264.9617614746094,72.47273254394531,31.46693992614746,262.1441955566406,75.33647155761719,130.97999572753906,174.20252990722656,100.1390151977539
2022-01-31 00:00:00-05:00,271.6135559082031,73.35586547851562,31.504886627197266,266.3836669921875,77.75942993164062,136.5800018310547,179.05477905273438,101.18655395507812
2022-02-01 00:00:00-05:00,271.9771423339844,72.53993225097656,32.92787551879883,268.7536926269531,77.30025482177734,139.99000549316406,179.45913696289062,100.29945373535156
2022-02-02 00:00:00-05:00,273.7653503417969,72.18477630615234,32.98479461669922,268.4893493652344,78.59964752197266,139.7899932861328,180.9662322998047,100.78075408935547
2022-02-03 00:00:00-05:00,271.67254638671875,71.11927032470703,32.766597747802734,265.212890625,77.25139617919922,131.86000061035156,176.25186157226562,100.77132415771484
2022-02-04 00:00:00-05:00,286.2239685058594,70.62973022460938,32.71916580200195,248.40573120117188,76.94853210449219,132.1999969482422,175.16748046875,99.80870819091797
2022-02-07 00:00:00-05:00,281.12457275390625,70.89849853515625,32.33970642089844,240.1910400390625,76.17669677734375,130.83999633789062,172.3645782470703,99.97857666015625
2022-02-08 00:00:00-05:00,282.8833312988281,71.21527099609375,31.182348251342773,238.70858764648438,76.84105682373047,134.24000549316406,171.8040008544922,100.57313537597656
2022-02-09 00:00:00-05:00,288.6409912109375,71.65682983398438,31.71358871459961,244.89321899414062,78.15023803710938,139.27999877929688,175.6636962890625,102.72483825683594
2022-02-10 00:00:00-05:00,282.2643127441406,69.33385467529297,31.742053985595703,238.3025665283203,75.81520080566406,135.9199981689453,170.20497131347656,99.98802185058594
2022-02-11 00:00:00-05:00,278.47174072265625,68.45073699951172,32.38713836669922,230.7582550048828,73.45086669921875,134.0,170.60931396484375,100.67694091796875
2022-02-14 00:00:00-05:00,274.9935607910156,68.37396240234375,30.48982048034668,229.90846252441406,73.577880859375,136.60000610351562,168.7437744140625,100.01634216308594
2022-02-15 00:00:00-05:00,279.55255126953125,69.55463409423828,30.575204849243164,234.00636291503906,75.03361511230469,143.61000061035156,170.17738342285156,99.59164428710938
2022-02-16 00:00:00-05:00,280.0732421875,69.42023468017578,30.736478805541992,231.65524291992188,75.1801528930664,146.25999450683594,171.9326629638672,100.12015533447266
2022-02-17 00:00:00-05:00,276.1333312988281,68.20116424560547,30.72698974609375,227.18907165527344,73.74395751953125,143.1300048828125,170.9401397705078,101.30741882324219
2022-02-18 00:00:00-05:00,278.84503173828125,68.34516143798828,30.50880241394043,228.4732208251953,74.47671508789062,141.14999389648438,170.57254028320312,100.71851348876953
