<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
07/09/22,000000,7614.79202,7643.45221,7502.35589,7598.257295,58875
08/09/22,000000,7598.257295,7845.175855,7588.33646,7845.175855,69898
09/09/22,000000,7844.07354,7999.499955,7796.673995,7831.948075,68175
11/09/22,000000,7839.66428,7862.812895,7818.720295,7829.743445,805
12/09/22,000000,7829.743445,7986.272175,7786.75316,7976.35134,46669
13/09/22,000000,7977.453655,8140.596275,7764.70686,7786.75316,76503
14/09/22,000000,7785.650845,7842.971225,7719.511945,7759.195285,49228
15/09/22,000000,7759.195285,7831.948075,7628.0198,7629.122115,53097
16/09/22,000000,7630.22443,7813.20872,7558.573955,7811.00409,54077
18/09/22,000000,7831.948075,7833.05039,7790.060105,7816.515665,810
19/09/22,000000,7815.41335,7844.07354,7659.986935,7777.93464,40813
20/09/22,000000,7777.93464,7820.924925,7678.72629,7714.00037,41797
21/09/22,000000,7715.102685,7751.47908,7501.253575,7570.69942,57162
22/09/22,000000,7568.49479,7764.70686,7540.936915,7637.940635,58333
23/09/22,000000,7636.83832,7655.577675,7334.80401,7382.203555,86288
25/09/22,000000,7386.612815,7394.32902,7343.62253,7383.30587,1626
26/09/22,000000,7385.5105,7417.477635,7217.95862,7257.64196,78906
27/09/22,000000,7258.744275,7392.12439,7204.73084,7262.05122,57225
28/09/22,000000,7260.948905,7478.10496,7149.61509,7450.547085,77339
29/09/22,000000,7449.44477,7587.234145,7287.404465,7571.801735,81040
30/09/22,000000,7571.801735,7659.986935,7471.49107,7471.49107,66015
02/10/22,000000,7488.025795,7504.56052,7478.10496,7496.844315,764
03/10/22,000000,7495.742,7548.65312,7389.91976,7529.913765,43093
04/10/22,000000,7532.118395,7785.650845,7500.15126,7700.77259,67331
05/10/22,000000,7698.56796,7838.561965,7598.257295,7809.901775,53371
06/10/22,000000,7811.00409,7921.23559,7564.08553,7577.31331,59448
07/10/22,000000,7578.415625,7601.56424,7436.21699,7458.26329,44129
09/10/22,000000,7460.46792,7460.46792,7431.80773,7440.62625,969
10/10/22,000000,7441.728565,7665.49851,7437.319305,7576.210995,51782
11/10/22,000000,7577.31331,7659.986935,7459.365605,7549.755435,54646
12/10/22,000000,7549.755435,7639.04295,7491.33274,7560.778585,25961
13/10/22,000000,7559.67627,7665.49851,7394.32902,7639.04295,77741
14/10/22,000000,7639.04295,7718.40963,7496.844315,7507.867465,62158
16/10/22,000000,7523.299875,7542.03923,7516.685985,7538.732285,517
17/10/22,000000,7538.732285,7644.554525,7474.798015,7510.072095,49064
18/10/22,000000,7510.072095,7574.006365,7361.25957,7407.5568,61192
19/10/22,000000,7407.5568,7441.728565,7290.71141,7316.064655,54129
20/10/22,000000,7318.269285,7577.31331,7281.89289,7484.71885,67034
21/10/22,000000,7483.616535,7677.623975,7375.589665,7673.214715,68903
23/10/22,000000,7683.13555,7715.102685,7654.47536,7657.782305,1622
24/10/22,000000,7658.88462,7726.125835,7545.346175,7568.49479,58132
25/10/22,000000,7568.49479,7586.13183,7413.068375,7491.33274,49029
26/10/22,000000,7490.230425,7836.357335,7457.160975,7797.77631,82400
27/10/22,000000,7797.77631,7840.766595,7696.36333,7765.809175,69701
28/10/22,000000,7765.809175,7777.93464,7531.01608,7572.90405,59678
29/10/22,000000,7561.8809,7572.90405,7536.527655,7566.29016,930
31/10/22,000000,7567.392475,7591.643405,7410.863745,7459.365605,52975
01/11/22,000000,7459.365605,7719.511945,7447.24014,7644.554525,69010
02/11/22,000000,7644.554525,7751.47908,7561.8809,7566.29016,56076
03/11/22,000000,7566.29016,7637.940635,7450.547085,7542.03923,60338
04/11/22,000000,7543.141545,8175.870355,7535.42534,8152.72174,130382
06/11/22,000000,8035.87635,8039.183295,7919.03096,7973.044395,5117
07/11/22,000000,7973.044395,8070.048115,7888.16614,7926.747165,71223
08/11/22,000000,7926.747165,8156.028685,7853.994375,8085.480525,65118
09/11/22,000000,8084.37821,8262.95324,7996.19301,8098.708305,69514
10/11/22,000000,8097.60599,8361.059275,7999.499955,8312.557415,74809
11/11/22,000000,8314.762045,8696.163035,8292.715745,8677.42368,84539
13/11/22,000000,8669.707475,8685.139885,8633.33108,8677.42368,1630
14/11/22,000000,8677.42368,8730.3348,8413.970395,8445.93753,71343
15/11/22,000000,8447.039845,8573.80607,8358.854645,8421.6866,57936
16/11/22,000000,8419.48197,8423.89123,8265.15787,8288.306485,42842
17/11/22,000000,8287.20417,8316.966675,8079.96895,8121.85692,47470
18/11/22,000000,8120.754605,8173.665725,7997.295325,8016.03468,42281
20/11/22,000000,8032.569405,8042.49024,8017.136995,8039.183295,599
21/11/22,000000,8038.08098,8038.08098,7820.924925,7901.39392,40998
